Word,Count
*,33547
the,9327
a,6063
be,5488
in,5433
{@link,3712
,3387
<p>May,2960
form,2834
is,2630
or,2155
can,2033
found,1891
value,1862
name,1854
@see,1852
array,1850
<p>This,1849
<tr><td><code>{@link,1849
offset,1849
attribute's,1849
@attr,1849
where,1849
symbol,1849
\value,\,1710
\align="\left"\\,1687
<colgroup,1687
/>,1687
to,1551
as,1391
such,1380
reference,1254
\"\<code>@[+][<i>package</i>:]<i>type</i>/<i>name</i></code>"\\,1253
\"\<code>?[<i>package</i>:]<i>type</i>/<i>name</i></code>"\\,1253
attribute,1253
theme,1253
\resource,\,1253
another,1253
with,959
of,862
point,852
floating,852
and,769
number,765
on,764
which,762
appended,759
based,724
unit,724
(scaled,723
are:,723
(density-independent,723
\(inches),\,723
\pixels),\,723
pixels,723
\"\<code>14.5sp</code>"\\,723
font,723
\(pixels),\,723
sp,723
dp,723
px,723
units,723
dimension,723
Available,723
preferred,723
mm,723
(millimeters),723
\size),\,723
following,623
</table>,623
<table>,623
constant,441
<p>Must,441
<tr><th>Constant</th><th>Value</th><th>Description</th></tr>,441
values.</p>,441
one,441
#AppCompatTheme},357
\"\<code>#<i>aarrggbb</i></code>"\\,327
\"\<code>#<i>rgb</i></code>"\,\,327
\"\<code>#<i>rrggbb</i></code>"\,\,327
color,327
\"\<code>#<i>argb</i></code>"\,\,327
\"\<code>false</code>"\\,267
\"\<code>true</code>"\\,267
boolean,267
by,213
that,209
#ConstraintSet},192
for,191
used,186
<tr><th>Attribute</th><th>Description</th></tr>,182
attributes:</p>,182
Attributes,182
<p>Includes,182
string,175
using,168
'\\n',165
character;,165
'\\;',165
characters,165
'\\uxxxx',165
unicode,165
escape,165
#ConstraintLayout_Layout},147
<tr><td>parent</td><td>0</td><td></td></tr>,117
an,108
more,104
'|'),99
(separated,99
integer,96
\"\<code>100</code>"\\,96
\"\<code>1.2</code>"\\,93
#ActionBar},87
#Toolbar},87
suffix,72
%,72
#MenuItem},69
This,57
from,54
<tr><td>bottom</td><td>50</td><td></td></tr>,54
<tr><td>top</td><td>30</td><td></td></tr>,54
<tr><td>src_over</td><td>3</td><td></td></tr>,51
#SearchView},51
<tr><td>src_atop</td><td>9</td><td></td></tr>,51
<tr><td>src_in</td><td>5</td><td></td></tr>,51
<tr><td>multiply</td><td>e</td><td></td></tr>,51
<tr><td>screen</td><td>f</td><td></td></tr>,51
#TextInputLayout},48
#TabLayout},48
<tr><td>left</td><td>3</td><td></td></tr>,48
#CollapsingToolbarLayout},48
It,47
data,46
not,46
automatically,46
MODIFY,45
generated,45
<tr><td>start</td><td>800003</td><td></td></tr>,45
class,45
<tr><td>end</td><td>800005</td><td></td></tr>,45
DO,45
NOT,45
should,44
The,44
it,43
was,43
<tr><td>none</td><td>0</td><td></td></tr>,42
#SwitchCompat},42
modified,42
FILE,42
hand,42
resource,42
AUTO-GENERATED,42
parent,40
#CardView},39
gradle,39
plugin,39
#TextAppearance},39
some,39
either,38
size,37
<tr><td>spread</td><td>0</td><td></td></tr>,36
optional,36
\"\<code>14.5%</code>"\\,36
size;,36
<tr><td>center</td><td>11</td><td></td></tr>,36
UI,36
<tr><td>center_vertical</td><td>10</td><td></td></tr>,36
base,36
<tr><td>center_horizontal</td><td>1</td><td></td></tr>,36
percentage,36
%p,36
relative,36
<tr><td>right</td><td>5</td><td></td></tr>,36
fractional,36
always,36
container,36
means,36
provides,36
\%p,\,36
<tr><td>fill_vertical</td><td>70</td><td></td></tr>,36
#RecyclerView},33
fragment,31
#NavigationView},30
#MenuView},27
#LinearLayoutCompat},27
<tr><td>normal</td><td>0</td><td></td></tr>,27
this,26
#BottomNavigationBar},24
<tr><td>clip_horizontal</td><td>8</td><td></td></tr>,24
#FloatingActionButton},24
<tr><td>add</td><td>10</td><td></td></tr>,24
<tr><td>clip_vertical</td><td>80</td><td></td></tr>,24
#AppCompatTextView},24
<tr><td>fill_horizontal</td><td>7</td><td></td></tr>,24
#DrawerArrowToggle},24
<tr><td>fill</td><td>77</td><td></td></tr>,24
Created,22
activity,21
#AppCompatTextHelper},21
#CoordinatorLayout_Layout},21
TODO:,21
#AlertDialog},21
Set,20
bar,20
#MenuGroup},18
<tr><td>packed</td><td>2</td><td></td></tr>,18
<tr><td>wrap</td><td>1</td><td></td></tr>,18
#FontFamily},18
<tr><td>spread_inside</td><td>1</td><td></td></tr>,18
#ActionMode},18
android.R.attr#orientation},15
#Spinner},15
<tr><td>horizontal</td><td>0</td><td></td></tr>,15
<tr><td>vertical</td><td>1</td><td></td></tr>,15
android:orientation,15
<tr><td>match_parent</td><td>ffffffff</td><td></td></tr>,15
<tr><td>fill_parent</td><td>ffffffff</td><td></td></tr>,15
item,15
#View},15
android:orientation}</code></td><td></td></tr>,15
#BottomNavigationView},15
<tr><td>wrap_content</td><td>fffffffe</td><td></td></tr>,15
#AppBarLayout},15
RequestQueue,14
method,13
new,13
Toolbar,13
system,12
are,12
Rename,12
android:maxWidth,12
android:id,12
<tr><td>CTRL</td><td>1000</td><td></td></tr>,12
<tr><td>FUNCTION</td><td>8</td><td></td></tr>,12
android.R.attr#id},12
will,12
#AppCompatSeekBar},12
<tr><td>META</td><td>10000</td><td></td></tr>,12
<tr><td>SHIFT</td><td>1</td><td></td></tr>,12
<tr><td>ALT</td><td>2</td><td></td></tr>,12
display,12
android:id}</code></td><td></td></tr>,12
android.R.attr#maxWidth},12
Add,12
android:maxWidth}</code></td><td></td></tr>,12
#AppCompatImageView},12
<tr><td>auto</td><td>ffffffff</td><td></td></tr>,12
<tr><td>SYM</td><td>4</td><td></td></tr>,12
#LinearLayoutCompat_Layout},12
fyp.generalbusinessgame.R.attr#elevation},12
<tr><td>right</td><td>3</td><td></td></tr>,12
fyp.generalbusinessgame:elevation,12
fyp.generalbusinessgame:elevation}</code></td><td></td></tr>,12
pc,11
Android,11
interaction,11
provided,11
Adding,11
delay,11
A,10
download,10
action,10
after,10
break;,9
#BottomSheetBehavior_Layout},9
android.R.attr#layout_gravity},9
android.R.attr#background},9
android:minWidth,9
#ViewStubCompat},9
android:minHeight,9
their,9
#DesignTheme},9
case,9
#ColorStateListItem},9
URL,9
change,9
parameters,9
navigation,9
android:minHeight}</code></td><td></td></tr>,9
layout,9
=,9
#CompoundButton},9
android:layout}</code></td><td></td></tr>,9
#ForegroundLinearLayout},9
android.R.attr#minWidth},9
android.R.attr#layout},9
android:layout,9
android:layout_gravity,9
android:minWidth}</code></td><td></td></tr>,9
android.R.attr#minHeight},9
request,9
user,9
response,9
drawer,9
Request,9
#ViewBackgroundHelper},9
android:background,9
#SnackbarLayout},9
final,9
android:background}</code></td><td></td></tr>,9
#PopupWindow},9
android:layout_gravity}</code></td><td></td></tr>,9
#TabItem},9
if,9
21/12/2017,9
#FontFamilyFont},9
private,9
status,8
Bilguun,8
summary,8
argument,8
<a,8
31/10/17,8
clicks,8
screen,8
async,7
settings,7
reflect,7
SimplifiableIfStatement,7
String[],7
controls,7
interface,7
Execute,7
behavior,7
noinspection,7
values,7
#TabLayout_tabIndicatorColor,6
#ConstraintLayout_Layout_layout_constraintBottom_toTopOf,6
#CompoundButton_buttonTint,6
#TextAppearance_android_shadowRadius,6
#AppCompatTheme_textAppearanceListItemSmall,6
#ConstraintLayout_Layout_layout_constraintHorizontal_bias,6
#CollapsingToolbarLayout_statusBarScrim,6
#ActionBar_contentInsetLeft,6
#AlertDialog_singleChoiceItemLayout,6
#TabItem_android_text,6
#AppCompatTheme_listPreferredItemPaddingRight,6
#Toolbar_navigationContentDescription,6
android:enabled,6
#ConstraintSet_android_rotationY,6
fyp.generalbusinessgame.R.attr#title},6
#ActionBar_hideOnContentScroll,6
#CardView_android_minWidth,6
#CardView_cardMaxElevation,6
#LinearLayoutCompat_android_baselineAligned,6
#AppCompatTheme_textAppearanceSearchResultTitle,6
#ConstraintSet_layout_constraintHorizontal_bias,6
<tr><td>showTitle</td><td>8</td><td></td></tr>,6
#AppCompatTheme_textAppearanceSmallPopupMenu,6
#ConstraintSet_android_transformPivotY,6
#AppCompatTheme_actionButtonStyle,6
#AppCompatTheme_android_windowIsFloating,6
#LinearLayoutCompat_divider,6
#ActionBar_progressBarPadding,6
#TextInputLayout_counterEnabled,6
android:textAppearance,6
android:icon}</code></td><td></td></tr>,6
fyp.generalbusinessgame:title,6
#AppCompatTheme_actionBarItemBackground,6
<tr><td>useLogo</td><td>1</td><td></td></tr>,6
#AppCompatTheme_actionBarTheme,6
<tr><td>withText</td><td>4</td><td></td></tr>,6
#MenuGroup_android_id,6
android:visible}</code></td><td></td></tr>,6
#Toolbar_titleMargins,6
#CompoundButton_buttonTintMode,6
#AppCompatTheme_windowActionBar,6
android.R.attr#popupBackground},6
android:icon,6
#AppCompatSeekBar_tickMarkTintMode,6
#AppCompatTheme_actionModeSelectAllDrawable,6
#TextInputLayout_hintAnimationEnabled,6
#CollapsingToolbarLayout_expandedTitleMarginStart,6
#RecyclerView_android_orientation,6
#AppCompatTheme_dialogTheme,6
android.R.attr#orderInCategory},6
#SearchView_android_inputType,6
#AppCompatTheme_borderlessButtonStyle,6
#MenuItem_iconTintMode,6
#AppBarLayout_Layout},6
#AppCompatTheme_windowFixedWidthMinor,6
fyp.generalbusinessgame:popupTheme}</code></td><td></td></tr>,6
#TextAppearance_android_shadowDx,6
#MenuItem_android_alphabeticShortcut,6
#TextInputLayout_android_hint,6
#ListPopupWindow},6
#MenuItem_android_enabled,6
android.R.attr#menuCategory},6
#SnackbarLayout_elevation,6
#AppCompatTheme_selectableItemBackgroundBorderless,6
#SearchView_suggestionRowLayout,6
#AppCompatTheme_dividerVertical,6
#AppCompatTheme_textColorAlertDialogListItem,6
#RecyclerView_reverseLayout,6
#MenuItem_android_title,6
#ScrollingViewBehavior_Layout_behavior_overlapTop,6
#CardView_android_minHeight,6
android:orderInCategory,6
#AppCompatTheme_listPreferredItemHeightLarge,6
#AppCompatTheme_colorSwitchThumbNormal,6
#ConstraintSet_android_transformPivotX,6
#TextInputLayout_passwordToggleContentDescription,6
#ColorStateListItem_alpha,6
#ConstraintSet_layout_constraintBottom_toTopOf,6
#AppCompatTheme_actionMenuTextColor,6
<tr><td>italic</td><td>1</td><td></td></tr>,6
#CoordinatorLayout_Layout_layout_keyline,6
#AppCompatTheme_actionModePasteDrawable,6
#TabLayout_tabMaxWidth,6
#ConstraintLayout_Layout_constraintSet,6
#ForegroundLinearLayout_foregroundInsidePadding,6
#ActionBar_subtitle,6
#MenuItem_numericModifiers,6
#MenuView_android_itemTextAppearance,6
#AppCompatTheme_actionModeSplitBackground,6
#MenuView_android_horizontalDivider,6
#AppCompatTheme_alertDialogStyle,6
#AppCompatTheme_autoCompleteTextViewStyle,6
#AppCompatTheme_buttonStyleSmall,6
#AppCompatTheme_actionModeCopyDrawable,6
#AppCompatTheme_textAppearanceSearchResultSubtitle,6
#ButtonBarLayout_allowStacking,6
#SearchView_voiceIcon,6
API,6
#AppCompatTextHelper_android_textAppearance,6
#Toolbar_title,6
#SnackbarLayout_android_maxWidth,6
menu,6
#ViewBackgroundHelper_backgroundTint,6
#TextAppearance_android_typeface,6
#CollapsingToolbarLayout_toolbarId,6
type,6
#Toolbar_contentInsetStartWithNavigation,6
#LinearLayoutCompat_measureWithLargestChild,6
#AppCompatTheme_spinnerDropDownItemStyle,6
<tr><td>mode_fixed</td><td>1</td><td></td></tr>,6
#CompoundButton_android_button,6
#RecyclerView_fastScrollHorizontalTrackDrawable,6
#SearchView_android_maxWidth,6
<tr><td>snap</td><td>10</td><td></td></tr>,6
#AppCompatImageView_tintMode,6
#BottomNavigationBar_bnbMode,6
android:layout_width,6
#SearchView_layout,6
#ConstraintSet_android_layout_marginBottom,6
#ConstraintSet_android_elevation,6
#AppCompatTheme_editTextStyle,6
#LinearLayoutCompat_Layout_android_layout_height,6
#ConstraintSet_layout_editor_absoluteX,6
#ConstraintSet_layout_constraintVertical_chainStyle,6
#CoordinatorLayout},6
#AppCompatTextView_autoSizeMaxTextSize,6
#ConstraintLayout_Layout_layout_constraintLeft_toRightOf,6
#AppCompatTextView_textAllCaps,6
#AppBarLayoutStates_state_collapsed,6
#AppCompatTextHelper_android_drawableRight,6
#ConstraintSet_android_translationZ,6
#Toolbar_android_minHeight,6
fyp.generalbusinessgame:popupTheme,6
#AppCompatTheme_colorButtonNormal,6
#Toolbar_collapseContentDescription,6
#FloatingActionButton_Behavior_Layout_behavior_autoHide,6
#SwitchCompat_switchMinWidth,6
#Toolbar_titleTextColor,6
#ConstraintSet_layout_constraintTop_creator,6
#ActionBar_itemPadding,6
android:enabled}</code></td><td></td></tr>,6
#Toolbar_titleMarginStart,6
#CollapsingToolbarLayout_Layout},6
#ConstraintSet_layout_constraintBaseline_creator,6
#AppCompatTheme_textAppearanceListItemSecondary,6
#MenuView_android_itemBackground,6
#ConstraintLayout_Layout_layout_constraintGuide_begin,6
#TextAppearance_android_textColorHint,6
Tabs,6
#MenuView_android_verticalDivider,6
#SearchView_android_imeOptions,6
#AppCompatTheme_buttonBarButtonStyle,6
#CardView_cardElevation,6
#TextInputLayout_hintEnabled,6
#Toolbar_contentInsetEnd,6
handle,6
#AppCompatTheme_dropdownListPreferredItemHeight,6
#MenuItem_android_icon,6
#ConstraintLayout_Layout_layout_constraintEnd_toStartOf,6
#TabLayout_tabMinWidth,6
#MenuItem_alphabeticModifiers,6
#AlertDialog_listLayout,6
#SwitchCompat_showText,6
#AppCompatTheme_panelMenuListTheme,6
#ConstraintSet_layout_constraintTop_toBottomOf,6
#AppCompatTheme_listMenuViewStyle,6
#BottomNavigationView_elevation,6
#AppBarLayout_Layout_layout_scrollFlags,6
android:gravity}</code></td><td></td></tr>,6
#BottomNavigationView_itemBackground,6
#CoordinatorLayout_Layout_layout_anchor,6
#ViewBackgroundHelper_android_background,6
#ActivityChooserView_expandActivityOverflowButtonDrawable,6
#ConstraintLayout_Layout_layout_constraintRight_toRightOf,6
#CoordinatorLayout_Layout_android_layout_gravity,6
#SwitchCompat_switchTextAppearance,6
#MenuItem_actionProviderClass,6
#Spinner_popupTheme,6
#CollapsingToolbarLayout_collapsedTitleGravity,6
#MenuItem_actionViewClass,6
#ConstraintLayout_Layout_layout_goneMarginStart,6
#AppCompatImageView_tint,6
#ActionBar_divider,6
android.R.attr#focusable},6
#ConstraintSet_layout_goneMarginEnd,6
android:layout_width}</code></td><td></td></tr>,6
#DrawerArrowToggle_barLength,6
#LinearLayoutCompat_android_weightSum,6
#ConstraintLayout_Layout_layout_constraintVertical_chainStyle,6
#SwitchCompat_android_textOn,6
#AppCompatTheme_popupMenuStyle,6
#AppCompatTextView_fontFamily,6
#SwitchCompat_android_textOff,6
#NavigationView_headerLayout,6
#ConstraintLayout_Layout_layout_constraintTop_toTopOf,6
#LinearLayoutCompat_showDividers,6
#ConstraintSet_layout_constraintLeft_creator,6
#TabLayout_tabPaddingBottom,6
#DrawerArrowToggle_arrowShaftLength,6
#AppCompatTheme_alertDialogCenterButtons,6
#AppCompatTheme_actionModeCloseButtonStyle,6
#AppCompatTheme_windowNoTitle,6
#Toolbar_contentInsetStart,6
#Toolbar_buttonGravity,6
<tr><td>wrap_content</td><td>0</td><td></td></tr>,6
android:popupBackground}</code></td><td></td></tr>,6
<tr><td>end</td><td>4</td><td></td></tr>,6
<tr><td>mode_fixed_no_title</td><td>3</td><td></td></tr>,6
#AppCompatTheme_checkboxStyle,6
#ConstraintSet_layout_goneMarginBottom,6
#ConstraintLayout_Layout_android_orientation,6
#SearchView_queryBackground,6
<tr><td>all</td><td>2</td><td></td></tr>,6
<tr><td>uniform</td><td>1</td><td></td></tr>,6
#AppCompatTheme_actionModeCutDrawable,6
#FloatingActionButton_borderWidth,6
#ViewStubCompat_android_id,6
#FloatingActionButton_fabSize,6
#ActionBar_elevation,6
#TabLayout_tabBackground,6
#ConstraintSet_layout_constraintEnd_toEndOf,6
#BottomNavigationBar_bnbActiveColor,6
#SearchView_android_focusable,6
#ConstraintSet_android_layout_width,6
<tr><td>homeAsUp</td><td>4</td><td></td></tr>,6
android:thumb,6
#ConstraintSet_layout_constraintWidth_default,6
#AppCompatTextView_autoSizeMinTextSize,6
#AppCompatTheme_dropDownListViewStyle,6
#ActionBar_navigationMode,6
#AppCompatTheme_actionModePopupWindowStyle,6
#MenuItem_iconTint,6
#ConstraintLayout_Layout_layout_constraintDimensionRatio,6
#AppCompatTheme_actionBarSplitStyle,6
#SwitchCompat_switchPadding,6
{,6
#AppCompatTheme_colorError,6
#LinearLayoutCompat_Layout_android_layout_weight,6
#MenuGroup_android_visible,6
#AppCompatTheme_colorControlHighlight,6
#ActionBar_background,6
#CardView_cardCornerRadius,6
#ConstraintLayout_Layout_android_minHeight,6
#AppCompatTheme_windowActionModeOverlay,6
#AppCompatTheme_activityChooserViewStyle,6
#ConstraintLayout_Layout_layout_constraintHeight_default,6
#AppCompatTheme_buttonBarNegativeButtonStyle,6
#TextInputLayout_passwordToggleTint,6
android:visible,6
#CollapsingToolbarLayout_Layout_layout_collapseParallaxMultiplier,6
#BottomNavigationBar_bnbInactiveColor,6
#ActionBar_logo,6
