Word,Count
*,262
the,168
to,97
,80
of,58
and,46
a,45
on,41
UI,36
fragment,31
by,30
in,28
that,27
this,26
for,26
is,22
Created,22
TODO:,21
activity,21
bar,20
Set,20
with,18
item,15
This,15
{@link,14
be,14
RequestQueue,14
new,13
value,13
method,13
Rename,12
display,12
Add,12
an,12
are,12
will,12
from,12
system,12
Adding,11
provided,11
pc,11
interaction,11
as,11
Android,11
delay,11
A,10
after,10
action,10
string,10
download,10
Toolbar,10
parameters,9
user,9
private,9
change,9
URL,9
their,9
response,9
request,9
final,9
case,9
=,9
drawer,9
break;,9
if,9
21/12/2017,9
layout,9
Request,9
navigation,9
screen,8
clicks,8
Bilguun,8
summary,8
The,8
31/10/17,8
or,8
argument,8
<a,8
status,8
SimplifiableIfStatement,7
String[],7
interface,7
noinspection,7
Execute,7
behavior,7
async,7
settings,7
reflect,7
controls,7
values,7
type,6
has,6
Navigation,6
API,6
Inflate,6
information,6
milliseconds,6
See,6
},6
you,6
up,6
handle,6
{,6
number,6
summaries,6
types,6
preferences,6
menu,6
Tabs,6
must,5
task,5
constructor,5
It,5
listener,5
Instantiate,5
fragments,5
update,5
available,5
License,5
hide(),5
use,5
other,5
instance,5
shows,5
contain,5
name,5
more,5
view,5
here,5
updated,5
preference's,5
its,5
when,5
list,5
<p>,5
parameter,5
Home/Up,4
Button,4
interacting,4
result,4
runnable,4
initialization,4
activities,4
When,4
sample,4
potentially,4
Delayed,4
automatically,4
Action,4
contained,4
any,4
\"\http://developer.android.com/training/basics/fragments/communicating.html"\\,4
guidelines,4
AndroidManifest.xml,4
communicated,4
href=,4
lesson,4
\button,\,4
elements,4
Training,4
Schedule,4
Use,4
parent,4
devices,4
inside,4
Update,4
Main,4
Fragments</a>,4
not,4
empty,4
Other,4
data,4
hiding,4
implemented,4
so,4
For,4
Parameter,4
names,4
specify,4
long,4
ViewPager,4
@param,4
under,4
Handle,4
allow,4
>Communicating,4
used,4
items,4
into,4
recycler,3
click,3
Card,3
only,3
ARG_ITEM_NUMBER,3
EditText/List/Dialog/Ringtone,3
Adapter,3
\params.put("\Content-Type"\,"\application/x-www-form-urlencoded"\);\,3
RecyclerView,3
state,3
trigger,3
some,3
@see,3
per,3
memory,3
before,3
needs,3
class,3
mGamePictures;,3
create,3
while,3
going,3
factory,3
e.g,3
do,3
jarring,3
checked,3
been,3
exception,3
at,3
network,3
0:,3
hook,3
Bind,3
Drawable[],3
numbers,3
preference,3
public,3
Design,3
\arguments,\,3
login,3
each,3
mGameNames;,3
switch,3
!=,3
icon,3
Setting,3
Arcstone,3
Click,3
updates,3
\change,\,3
choose,3
\method,\,3
Trigger,3
Snackbar,3
An,3
mGameDescs;,3
1:,3
event,3
match,3
\value,\,3
away,3
thread,3
Customize,3
prevent,3
Show,3
using,3
Create,3
2:,3
Required,3
which,3
showing,3
calls,3
inlfate,3
two-pane,3
scheduled,3
call,3
(gamePeriodModel.status),3
Closing,3
card,3
\parameters,\,3
If,3
\preferences,\,3
immediately,2
main,2
rnd_information_layout.setVisibility(View.VISIBLE);,2
On,2
null,2
documentation</a>,2
\them,\,2
full-screen,2
nothing,2
app,2
operation,2
simple,2
#AUTO_HIDE_DELAY_MILLIS},2
upon,2
Activity,2
they,2
called,2
kilobytes,2
widget,2
manually,2
Replace,2
ringtone,2
extra-large,2
<p/>,2
navigation/system,2
Note,2
\created,\,2
Some,2
\test,\,2
canceling,2
constants,2
setupViewPager(viewPager);,2
Cancel,2
device,2
marketing_information_layout.setVisibility(View.VISIBLE);,2
#AUTO_HIDE},2
1,2
example,2
param2,2
Indicates,2
financeInfoLayout.setVisibility(View.VISIBLE);,2
Whether,2
initial,2
(the,2
inlined,2
can,2
execute,2
previously,2
look,2
should,2
OnListFragmentInteractionListener},2
(KitKat),2
(Jelly,2
Helper,2
distributed,2
30-Jan-17,2
compile-time,2
AsyncTask,2
