Word,Count
*,254
the,166
to,97
,78
of,57
and,46
a,45
on,39
UI,36
fragment,31
by,30
in,28
that,27
this,26
for,26
is,22
Created,22
activity,21
TODO:,21
Set,20
bar,20
with,18
item,15
This,15
be,14
{@link,14
RequestQueue,14
method,13
value,13
new,13
Rename,12
display,12
system,12
are,12
Add,12
from,12
pc,11
provided,11
Adding,11
interaction,11
as,11
an,11
delay,11
action,10
string,10
download,10
Android,10
A,10
Toolbar,10
after,10
will,10
=,9
21/12/2017,9
final,9
case,9
if,9
change,9
parameters,9
layout,9
their,9
break;,9
URL,9
navigation,9
Request,9
private,9
response,9
drawer,9
user,9
request,9
or,8
summary,8
The,8
argument,8
Bilguun,8
screen,8
status,8
clicks,8
31/10/17,8
settings,7
String[],7
interface,7
noinspection,7
async,7
values,7
Execute,7
reflect,7
behavior,7
SimplifiableIfStatement,7
controls,7
milliseconds,6
<a,6
preferences,6
handle,6
you,6
summaries,6
information,6
See,6
menu,6
types,6
API,6
Navigation,6
number,6
Inflate,6
Tabs,6
has,6
up,6
},6
type,6
{,6
<p>,5
available,5
when,5
update,5
License,5
list,5
hide(),5
fragments,5
shows,5
It,5
preference's,5
updated,5
view,5
Instantiate,5
name,5
contain,5
its,5
other,5
here,5
more,5
parameter,5
instance,5
must,5
listener,5
use,5
constructor,5
task,5
implemented,4
any,4
data,4
contained,4
activities,4
sample,4
ViewPager,4
Home/Up,4
not,4
>Communicating,4
Schedule,4
\"\http://developer.android.com/training/basics/fragments/communicating.html"\\,4
\button,\,4
items,4
automatically,4
specify,4
guidelines,4
Handle,4
Delayed,4
Other,4
For,4
Button,4
Use,4
@param,4
initialization,4
names,4
Update,4
Main,4
inside,4
Parameter,4
empty,4
parent,4
lesson,4
hiding,4
When,4
devices,4
href=,4
so,4
Action,4
communicated,4
into,4
elements,4
used,4
long,4
potentially,4
Fragments</a>,4
result,4
interacting,4
runnable,4
allow,4
Training,4
AndroidManifest.xml,4
create,3
choose,3
inlfate,3
RecyclerView,3
per,3
some,3
If,3
(gamePeriodModel.status),3
Snackbar,3
Arcstone,3
Bind,3
!=,3
needs,3
login,3
trigger,3
under,3
mGamePictures;,3
preference,3
recycler,3
Show,3
factory,3
at,3
\preferences,\,3
call,3
scheduled,3
showing,3
Required,3
icon,3
2:,3
prevent,3
memory,3
Drawable[],3
Click,3
numbers,3
public,3
checked,3
jarring,3
card,3
each,3
mGameNames;,3
away,3
e.g,3
before,3
mGameDescs;,3
